,averageRating,numVotes,Film,date,genres
80,8.3,1215986,American Beauty,1999,Drama
81,8.3,1096254,Braveheart,1995,"Biography,Drama,War"
82,8.3,1084193,Eternal Sunshine of the Spotless Mind,2004,"Drama,Romance,Sci-Fi"
83,8.3,1078932,Good Will Hunting,1997,"Drama,Romance"
84,8.3,1075166,Toy Story,1995,"Adventure,Animation,Comedy"
85,8.3,429620,Vertigo,1958,"Mystery,Romance,Thriller"
86,8.2,454013,Hauru no ugoku shiro,2004,"Adventure,Animation,Family"
87,8.2,621378,L.A. Confidential,1997,"Crime,Drama,Mystery"
88,8.2,817095,Prisoners,2013,"Crime,Drama,Mystery"
89,8.2,580189,Green Book,2018,"Biography,Comedy,Drama"
90,8.2,572636,Monty Python and the Holy Grail,1975,"Adventure,Comedy,Fantasy"
91,8.2,711414,Top Gun: Maverick,2022,"Action,Drama"
92,8.2,567712,Casino,1995,"Crime,Drama"
93,8.2,644864,There Will Be Blood,2007,Drama
94,8.2,705765,El laberinto del fauno,2006,"Drama,Fantasy,War"
95,8.2,470315,The Thing,1982,"Horror,Mystery,Sci-Fi"
96,8.2,683727,1917,2019,"Action,Drama,History"
97,8.2,438407,Unforgiven,1992,"Drama,Western"
98,8.2,815004,Indiana Jones and the Last Crusade,1989,"Action,Adventure"
99,8.2,992036,A Beautiful Mind,2001,"Biography,Drama,Mystery"
100,8.2,915375,Snatch,2000,"Comedy,Crime"
101,8.2,927635,Taxi Driver,1976,"Crime,Drama"
102,8.2,1588068,Batman Begins,2005,"Action,Crime,Drama"
103,8.2,1074636,Jurassic Park,1993,"Action,Adventure,Sci-Fi"
104,8.2,889323,Spider-Man: No Way Home,2021,"Action,Adventure,Fantasy"
105,8.2,1202553,Kill Bill: Vol. 1,2003,"Action,Crime,Thriller"
106,8.2,1119256,Finding Nemo,2003,"Adventure,Animation,Comedy"
107,8.2,950580,Die Hard,1988,"Action,Thriller"
108,8.2,1468961,Shutter Island,2010,"Drama,Mystery,Thriller"
109,8.2,1184112,V for Vendetta,2005,"Action,Drama,Sci-Fi"
110,8.2,1057489,The Sixth Sense,1999,"Drama,Mystery,Thriller"
111,8.2,1597078,The Wolf of Wall Street,2013,"Biography,Comedy,Crime"
112,8.2,1206750,The Truman Show,1998,"Comedy,Drama"
113,8.2,1068587,No Country for Old Men,2007,"Crime,Drama,Thriller"
114,8.1,632187,Rocky,1976,"Drama,Sport"
115,8.1,441934,Platoon,1986,"Drama,War"
116,8.1,805637,How to Train Your Dragon,2010,"Action,Adventure,Animation"
117,8.1,1104930,Catch Me If You Can,2002,"Biography,Crime,Drama"
118,8.1,744249,12 Years a Slave,2013,"Biography,Drama,History"
