,Franchise,Film,date
0,Marvel's Cinematic Universe,Iron Man,2008
1,Marvel's Cinematic Universe,The Incredible Hulk,2008
2,Marvel's Cinematic Universe,Iron Man 2,2010
3,Marvel's Cinematic Universe,Thor,2011
4,Marvel's Cinematic Universe,Captain America: The First Avenger,2011
5,Marvel's Cinematic Universe,The Avengers,2012
6,Marvel's Cinematic Universe,Iron Man 3,2013
7,Marvel's Cinematic Universe,Thor: The Dark World,2013
8,Marvel's Cinematic Universe,Captain America: The Winter Soldier,2014
9,Marvel's Cinematic Universe,Guardians of the Galaxy,2014
10,Marvel's Cinematic Universe,Avengers: Age of Ultron,2015
11,Marvel's Cinematic Universe,Ant-Man,2015
12,Marvel's Cinematic Universe,Captain America: Civil War,2016
13,Marvel's Cinematic Universe,Doctor Strange,2016
14,Marvel's Cinematic Universe,Guardians of the Galaxy Vol. 2,2017
15,Marvel's Cinematic Universe,Spider-Man: Homecoming,2017
16,Marvel's Cinematic Universe,Thor: Ragnarok,2017
17,Marvel's Cinematic Universe,Black Panther,2018
18,Marvel's Cinematic Universe,Avengers: Infinity War,2018
19,Marvel's Cinematic Universe,Ant-Man and the Wasp,2018
20,Marvel's Cinematic Universe,Captain Marvel,2019
21,Marvel's Cinematic Universe,Avengers: Endgame,2019
22,Marvel's Cinematic Universe,Spider-Man: Far from Home,2019
23,Marvel's Cinematic Universe,Black Widow,2021
24,Marvel's Cinematic Universe,Shang-Chi and the Legend of the Ten Rings,2021
25,Marvel's Cinematic Universe,Eternals,2021
26,Marvel's Cinematic Universe,Spider-Man: No Way Home,2021
27,Marvel's Cinematic Universe,Doctor Strange in the Multiverse of Madness,2022
28,Marvel's Cinematic Universe,Thor: Love and Thunder,2022
29,Marvel's Cinematic Universe,Black Panther: Wakanda Forever,2022
30,Marvel's Cinematic Universe,Ant-Man and the Wasp: Quantumania,2023
31,Marvel's Cinematic Universe,Guardians of the Galaxy Vol. 3,2023
32,Marvel's Cinematic Universe,The Marvels,2023
33,Pixar-Disney Animations,Toy Story,1995
34,Pixar-Disney Animations,Toy Story 2,1999
35,Pixar-Disney Animations,Toy Story 3,2010
36,Pixar-Disney Animations,Toy Story 4,2019
37,Pixar-Disney Animations,Lightyear   - prequel,2022
38,Pixar-Disney Animations,"Monsters, Inc.",2001
39,Pixar-Disney Animations,Monsters University,2013
40,Pixar-Disney Animations,Finding Nemo,2003
41,Pixar-Disney Animations,Finding Dory,2016
42,Pixar-Disney Animations,Cars,2006
43,Pixar-Disney Animations,Cars 2,2011
44,Pixar-Disney Animations,Cars 3,2017
45,Pixar-Disney Animations,The Incredibles,2004
46,Pixar-Disney Animations,Incredibles 2,2018
47,Pixar-Disney Animations,A Bug's Life,1998
48,Pixar-Disney Animations,Ratatouille,2007
49,Pixar-Disney Animations,WALL-E,2008
50,Pixar-Disney Animations,Up,2009
51,Pixar-Disney Animations,Brave,2012
52,Pixar-Disney Animations,Inside Out,2015
53,Pixar-Disney Animations,The Good Dinosaur,2015
54,Pixar-Disney Animations,Coco,2017
55,Pixar-Disney Animations,Onward,2020
56,Pixar-Disney Animations,Soul,2020
57,Pixar-Disney Animations,Luca,2021
58,Pixar-Disney Animations,Turning Red,2022
59,Pixar-Disney Animations,Elemental,2023
60,Star Wars: (Original Trilogy),Star Wars: Episode VII - The Force Awakens,2015
61,Star Wars: (Original Trilogy),Star Wars,1977
62,Star Wars: (Original Trilogy),Star Wars: Episode V - The Empire Strikes Back,1980
63,Star Wars: (Original Trilogy),Star Wars: Episode VI - Return of the Jedi,1983
64,Star Wars: (Original Trilogy),Star Wars: Episode I - The Phantom Menace,1999
65,Star Wars: (Original Trilogy),Star Wars: Episode II - Attack of the Clones,2002
66,Star Wars: (Original Trilogy),Star Wars: Episode III - Revenge of the Sith,2005
67,Star Wars: (Original Trilogy),Star Wars: Episode III - Revenge of the Sith,2015
68,Star Wars: (Original Trilogy),Star Wars: Episode VIII - The Last Jedi,2017
69,Star Wars: (Original Trilogy),Star Wars: Episode IX - The Rise of Skywalker,2019
70,Star Wars: (Original Trilogy),Star Wars: The Clone Wars,2008
71,Star Wars: (Original Trilogy),Rogue One,2016
72,Star Wars: (Original Trilogy),Solo: A Star Wars Story,2018
73,"Disney (Live-Action  Adaptations, Reimaginings or Remakes)",Rudyard Kipling's The Jungle Book,1994
74,"Disney (Live-Action  Adaptations, Reimaginings or Remakes)",The Jungle Book,2016
75,"Disney (Live-Action  Adaptations, Reimaginings or Remakes)",101 Dalmatians,1996
76,"Disney (Live-Action  Adaptations, Reimaginings or Remakes)",102 Dalmatians,2000
77,"Disney (Live-Action  Adaptations, Reimaginings or Remakes)",Cruella,2021
78,"Disney (Live-Action  Adaptations, Reimaginings or Remakes)",Alice in Wonderland,2010
79,"Disney (Live-Action  Adaptations, Reimaginings or Remakes)",Alice Through the Looking Glass,2016
80,"Disney (Live-Action  Adaptations, Reimaginings or Remakes)",Maleficent,2014
81,"Disney (Live-Action  Adaptations, Reimaginings or Remakes)",Maleficent: Mistress of Evil,2019
82,"Disney (Live-Action  Adaptations, Reimaginings or Remakes)",Oz the Great and Powerful   *,2013
83,"Disney (Live-Action  Adaptations, Reimaginings or Remakes)",Cinderella,2015
84,"Disney (Live-Action  Adaptations, Reimaginings or Remakes)",Pete's Dragon,2016
85,"Disney (Live-Action  Adaptations, Reimaginings or Remakes)",Beauty and the Beast,2017
86,"Disney (Live-Action  Adaptations, Reimaginings or Remakes)",Christopher Robin   *,2018
87,"Disney (Live-Action  Adaptations, Reimaginings or Remakes)",Dumbo,2019
88,"Disney (Live-Action  Adaptations, Reimaginings or Remakes)",Aladdin,2019
89,"Disney (Live-Action  Adaptations, Reimaginings or Remakes)",The Lion King,2019
90,"Disney (Live-Action  Adaptations, Reimaginings or Remakes)",Lady and the Tramp   (Disney+),2019
91,"Disney (Live-Action  Adaptations, Reimaginings or Remakes)",Mulan   (Disney+),2020
92,"Disney (Live-Action  Adaptations, Reimaginings or Remakes)",Cruella,2021
93,"Disney (Live-Action  Adaptations, Reimaginings or Remakes)",Pinocchio,2022
94,"Disney (Live-Action  Adaptations, Reimaginings or Remakes)",Peter Pan and Wendy,2023
95,"Disney (Live-Action  Adaptations, Reimaginings or Remakes)",The Little Mermaid,2023
96,Spider-Man (Marc Webb),Spider-Man,2002
97,Spider-Man (Marc Webb),Spider-Man 2,2004
98,Spider-Man (Marc Webb),Spider-Man 3,2007
99,Spider-Man (Marc Webb),The Amazing Spider-Man,2012
100,Spider-Man (Marc Webb),The Amazing Spider-Man 2,2014
101,Spider-Man (Marc Webb),"Spider-Man:
                            Homecoming",2017
102,Spider-Man (Marc Webb),Spider-Man: Far From Home,2019
103,Spider-Man (Marc Webb),Spider-Man: No Way Home,2021
104,Spider-Man (Marc Webb),Venom,2018
105,Spider-Man (Marc Webb),Venom: Let There Be Carnage,2021
106,Spider-Man (Marc Webb),Morbius,2022
107,Spider-Man (Marc Webb),Spider-Man: Into the Spider-Verse,2018
108,Spider-Man (Marc Webb),Spider-Man: Across the Spider-Verse,2023
109,Spider-Man (Marc Webb),Spider-Man: Beyond the Spider-Verse,2024
110,Fantastic Beasts,Harry Potter and the Sorcerer's Stone,2001
111,Fantastic Beasts,Harry Potter and the Chamber of Secrets,2002
112,Fantastic Beasts,Harry Potter and the Prisoner of Azkaban,2004
113,Fantastic Beasts,Harry Potter and the Goblet of Fire,2005
114,Fantastic Beasts,Harry Potter and the Order of the Phoenix,2007
115,Fantastic Beasts,Harry Potter and the Half-Blood Prince,2009
116,Fantastic Beasts,Harry Potter and the Deathly Hallows - Part 1,2010
117,Fantastic Beasts,Harry Potter and the Deathly Hallows - Part 2,2011
118,Fantastic Beasts,Fantastic Beasts and Where to Find Them,2016
119,Fantastic Beasts,"Fantastic Beasts: The Crimes
                                                of Grindelwald",2018
120,Fantastic Beasts,"Fantastic Beasts: The Secrets
                                                of Dumbledore",2022
